Year,Team,Sport,Gold,Total,Score,Coach,Host,Events,Athletes,GDP
1996,United States,Gymnastics,8,11,92,1,0,16,827,8073.125
2000,United States,Gymnastics,0,6,12,1,0,18,748,10250.95
2004,United States,Gymnastics,2,19,102,1,0,18,706,12217.175
2008,United States,Gymnastics,2,20,89,1,0,18,744,14769.85
2012,United States,Gymnastics,7,10,79,1,0,18,669,16253.95
2016,United States,Gymnastics,8,16,114,0,0,18,699,18804.9
1964,United States,Judo,0,1,2,0,0,4,482,2857.325
1976,United States,Judo,0,1,2,0,0,6,554,2857.325
1984,United States,Judo,0,2,7,0,0,8,693,4037.65
1988,United States,Judo,0,2,7,0,0,7,715,5236.425
1992,United States,Judo,0,1,5,0,0,14,728,6520.325
1996,United States,Judo,0,1,2,0,0,14,827,8073.125
2004,United States,Judo,0,1,2,0,0,14,706,12217.175
2008,United States,Judo,0,1,2,0,0,14,744,14769.85
2012,United States,Judo,1,2,12,0,0,14,669,16253.95
2016,United States,Judo,1,2,15,0,0,14,699,18804.9
1896,United States,Shooting,2,3,25,0,0,5,27,2857.325
1908,United States,Shooting,11,14,122,0,0,15,219,2857.325
1912,United States,Shooting,20,36,253,0,0,18,364,2857.325
1920,United States,Shooting,46,64,520,0,0,21,473,2857.325
1924,United States,Shooting,14,21,160,0,0,10,447,2857.325
1948,United States,Shooting,1,2,15,0,0,4,412,2857.325
1952,United States,Shooting,1,2,12,0,0,7,436,2857.325
1956,United States,Shooting,0,1,2,0,0,7,431,2857.325
1960,United States,Shooting,1,2,15,0,0,6,418,2857.325
1964,United States,Shooting,2,7,36,0,0,6,482,2857.325
1968,United States,Shooting,1,3,20,0,0,7,529,2857.325
1972,United States,Shooting,2,4,30,0,0,8,574,2857.325
1976,United States,Shooting,2,3,25,0,0,7,554,2857.325
1984,United States,Shooting,3,6,39,0,0,11,693,4037.65
1988,United States,Shooting,0,1,5,0,0,11,715,5236.425
1992,United States,Shooting,1,2,15,0,0,11,728,6520.325
1996,United States,Shooting,1,3,17,0,0,13,827,8073.125
2000,United States,Shooting,1,3,14,0,0,15,748,10250.95
2004,United States,Shooting,2,3,25,0,0,17,706,12217.175
2008,United States,Shooting,2,6,34,0,0,15,744,14769.85
2012,United States,Shooting,3,4,32,0,0,15,669,16253.95
2016,United States,Shooting,1,3,14,0,0,15,699,18804.9
2020,United States,Shooting,3,8,49,0,0,15,856,21354.125
2024,United States,Shooting,1,6,32,0,0,15,854,29167.779
1904,United States,Swimming,3,10,53,0,0,9,823,2857.325
1906,United States,Swimming,1,1,10,0,0,4,81,2857.325
1908,United States,Swimming,1,5,18,0,0,6,219,2857.325
1912,United States,Swimming,2,7,42,0,0,9,364,2857.325
1920,United States,Swimming,14,22,171,0,0,10,473,2857.325
1924,United States,Swimming,16,26,195,0,0,11,447,2857.325
1928,United States,Swimming,16,21,176,0,0,11,416,2857.325
1932,United States,Swimming,8,16,111,0,0,11,724,2857.325
1936,United States,Swimming,2,17,74,0,0,11,473,2857.325
1948,United States,Swimming,18,25,212,0,0,11,412,2857.325
1952,United States,Swimming,11,19,132,0,0,11,436,2857.325
1956,United States,Swimming,2,22,105,0,0,13,431,2857.325
1960,United States,Swimming,34,40,361,0,0,15,418,2857.325
1964,United States,Swimming,45,61,506,0,0,18,482,2857.325
1968,United States,Swimming,52,83,627,0,0,29,529,2857.325
1972,United States,Swimming,48,74,574,0,0,29,574,2857.325
1976,United States,Swimming,29,55,399,0,0,26,554,2857.325
1984,United States,Swimming,50,63,565,0,0,29,693,4037.65
1988,United States,Swimming,24,45,318,0,0,31,715,5236.425
1992,United States,Swimming,35,56,419,0,0,31,728,6520.325
1996,United States,Swimming,47,60,529,0,0,32,827,8073.125
2000,United States,Swimming,37,66,482,0,0,32,748,10250.95
2004,United States,Swimming,30,65,436,1,0,32,706,12217.175
2008,United States,Swimming,31,68,447,1,0,32,744,14769.85
2012,United States,Swimming,41,68,512,1,0,32,669,16253.95
2016,United States,Swimming,48,71,568,0,0,32,699,18804.9
2020,United States,Swimming,22,59,360,0,0,35,856,21354.125
2024,United States,Swimming,27,69,459,0,0,35,854,29167.779
1900,United States,Tennis,0,1,2,0,0,4,114,2857.325
1904,United States,Tennis,1,4,19,0,0,2,823,2857.325
1924,United States,Tennis,2,2,20,0,0,5,447,2857.325
1988,United States,Tennis,4,7,49,0,0,4,715,5236.425
1992,United States,Tennis,3,4,32,0,0,4,728,6520.325
1996,United States,Tennis,4,4,40,0,0,4,827,8073.125
2000,United States,Tennis,3,4,32,0,0,4,748,10250.95
2004,United States,Tennis,0,1,5,0,0,5,706,12217.175
2012,United States,Tennis,1,1,10,0,0,5,669,16253.95
2024,United States,Tennis,0,4,14,0,0,0,854,29167.779
1984,United States,Volleyball,12,24,180,0,0,2,693,4037.65
1988,United States,Volleyball,12,12,120,0,0,2,715,5236.425
1992,United States,Volleyball,0,24,48,0,0,2,728,6520.325
2008,United States,Volleyball,12,24,180,1,0,4,744,14769.85
2012,United States,Volleyball,0,12,60,0,0,4,669,16253.95
2016,United States,Volleyball,0,24,48,0,0,4,699,18804.9
2020,United States,Volleyball,12,12,120,0,0,4,856,21354.125
2024,United States,Volleyball,0,26,91,0,0,2,854,29167.779
