Team,Year,Sport,Medal
Australia,1968,Swimming,No medal
Australia,1968,Swimming,Silver
Australia,1968,Swimming,No medal
Australia,1968,Swimming,No medal
Australia,1968,Swimming,No medal
Australia,1968,Swimming,No medal
Australia,1968,Swimming,Silver
Australia,1968,Swimming,Gold
Australia,1968,Swimming,Gold
Australia,1968,Swimming,Bronze
Australia,1968,Swimming,Silver
Australia,1968,Swimming,No medal
Australia,1968,Swimming,No medal
Australia,1968,Swimming,No medal
Australia,1968,Swimming,Silver
Australia,1968,Swimming,No medal
Australia,1968,Swimming,No medal
Australia,1968,Swimming,Bronze
Australia,1968,Swimming,Silver
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,Gold
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,Bronze
Australia,1972,Swimming,Gold
Australia,1972,Swimming,Gold
Australia,1972,Swimming,Silver
Australia,1972,Swimming,No medal
Australia,1972,Swimming,Gold
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,Gold
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,Bronze
Australia,1972,Swimming,Gold
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1972,Swimming,Silver
Australia,1972,Swimming,No medal
Australia,1972,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,Bronze
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1976,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,Bronze
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,Gold
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,Bronze
Australia,1980,Swimming,No medal
Australia,1980,Swimming,Gold
Australia,1980,Swimming,No medal
Australia,1980,Swimming,Gold
Australia,1980,Swimming,Bronze
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,Bronze
Australia,1980,Swimming,Gold
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,Bronze
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,Gold
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,Gold
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1980,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,Silver
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,Silver
Australia,1984,Swimming,Bronze
Australia,1984,Swimming,Bronze
Australia,1984,Swimming,Bronze
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,Silver
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,Bronze
Australia,1984,Swimming,No medal
Australia,1984,Swimming,Bronze
Australia,1984,Swimming,Silver
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,Bronze
Australia,1984,Swimming,Silver
Australia,1984,Swimming,No medal
Australia,1984,Swimming,Bronze
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,Bronze
Australia,1984,Swimming,Silver
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,Gold
Australia,1984,Swimming,Bronze
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,Silver
Australia,1984,Swimming,Silver
Australia,1984,Swimming,No medal
Australia,1984,Swimming,Bronze
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,No medal
Australia,1984,Swimming,Bronze
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,Gold
Australia,1988,Swimming,Silver
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,Bronze
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1988,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,Silver
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,Bronze
Australia,1992,Swimming,Silver
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,Bronze
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,Bronze
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,Silver
Australia,1992,Swimming,Gold
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,Bronze
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,Bronze
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1992,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Silver
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Bronze
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Bronze
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Bronze
Australia,1996,Swimming,Bronze
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Bronze
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Silver
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Bronze
Australia,1996,Swimming,Bronze
Australia,1996,Swimming,Bronze
Australia,1996,Swimming,Silver
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Bronze
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Silver
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Bronze
Australia,1996,Swimming,Silver
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Bronze
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Bronze
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Gold
Australia,1996,Swimming,Silver
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Gold
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Bronze
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Silver
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Bronze
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Silver
Australia,1996,Swimming,No medal
Australia,1996,Swimming,Silver
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,1996,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Gold
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Silver
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Gold
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Silver
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Gold
Australia,2000,Swimming,Gold
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Silver
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Bronze
Australia,2000,Swimming,Silver
Australia,2000,Swimming,Silver
Australia,2000,Swimming,Silver
Australia,2000,Swimming,Gold
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Gold
Australia,2000,Swimming,Gold
Australia,2000,Swimming,Silver
Australia,2000,Swimming,Silver
Australia,2000,Swimming,Gold
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Silver
Australia,2000,Swimming,Bronze
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Gold
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Silver
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Silver
Australia,2000,Swimming,Silver
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Gold
Australia,2000,Swimming,Gold
Australia,2000,Swimming,Silver
Australia,2000,Swimming,Gold
Australia,2000,Swimming,Silver
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Silver
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Silver
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Silver
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Silver
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Bronze
Australia,2000,Swimming,Silver
Australia,2000,Swimming,Silver
Australia,2000,Swimming,Silver
Australia,2000,Swimming,Gold
Australia,2000,Swimming,Gold
Australia,2000,Swimming,Gold
Australia,2000,Swimming,Silver
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Silver
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Silver
Australia,2000,Swimming,Silver
Australia,2000,Swimming,Bronze
Australia,2000,Swimming,Silver
Australia,2000,Swimming,No medal
Australia,2000,Swimming,Silver
Australia,2000,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,Silver
Australia,2004,Swimming,Gold
Australia,2004,Swimming,Silver
Australia,2004,Swimming,Silver
Australia,2004,Swimming,No medal
Australia,2004,Swimming,Gold
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,Gold
Australia,2004,Swimming,Gold
Australia,2004,Swimming,Gold
Australia,2004,Swimming,No medal
Australia,2004,Swimming,Bronze
Australia,2004,Swimming,Silver
Australia,2004,Swimming,Gold
Australia,2004,Swimming,No medal
Australia,2004,Swimming,Silver
Australia,2004,Swimming,No medal
Australia,2004,Swimming,Bronze
Australia,2004,Swimming,No medal
Australia,2004,Swimming,Gold
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,Silver
Australia,2004,Swimming,Gold
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,Gold
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,Silver
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,Gold
Australia,2004,Swimming,Gold
Australia,2004,Swimming,No medal
Australia,2004,Swimming,Gold
Australia,2004,Swimming,Silver
Australia,2004,Swimming,No medal
Australia,2004,Swimming,Silver
Australia,2004,Swimming,No medal
Australia,2004,Swimming,Gold
Australia,2004,Swimming,No medal
Australia,2004,Swimming,Gold
Australia,2004,Swimming,Silver
Australia,2004,Swimming,Gold
Australia,2004,Swimming,Bronze
Australia,2004,Swimming,Gold
Australia,2004,Swimming,Gold
Australia,2004,Swimming,No medal
Australia,2004,Swimming,Silver
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2004,Swimming,No medal
Australia,2008,Swimming,Gold
Australia,2008,Swimming,No medal
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Gold
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,No medal
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Gold
Australia,2008,Swimming,No medal
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Silver
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Gold
Australia,2008,Swimming,Gold
Australia,2008,Swimming,No medal
Australia,2008,Swimming,No medal
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Silver
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,No medal
Australia,2008,Swimming,No medal
Australia,2008,Swimming,No medal
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Gold
Australia,2008,Swimming,Silver
Australia,2008,Swimming,Gold
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,Silver
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Silver
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,Gold
Australia,2008,Swimming,Gold
Australia,2008,Swimming,No medal
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Gold
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,No medal
Australia,2008,Swimming,No medal
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Gold
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Silver
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,Gold
Australia,2008,Swimming,Gold
Australia,2008,Swimming,Gold
Australia,2008,Swimming,Gold
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Silver
Australia,2008,Swimming,Silver
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,Gold
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,Gold
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Gold
Australia,2008,Swimming,No medal
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Silver
Australia,2008,Swimming,No medal
Australia,2008,Swimming,No medal
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Silver
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Silver
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,Silver
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Bronze
Australia,2008,Swimming,Silver
Australia,2008,Swimming,No medal
Australia,2008,Swimming,Gold
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,Silver
Australia,2012,Swimming,Bronze
Australia,2012,Swimming,No medal
Australia,2012,Swimming,Silver
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,Gold
Australia,2012,Swimming,Gold
Australia,2012,Swimming,Silver
Australia,2012,Swimming,Bronze
Australia,2012,Swimming,Silver
Australia,2012,Swimming,Silver
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,Bronze
Australia,2012,Swimming,Gold
Australia,2012,Swimming,Silver
Australia,2012,Swimming,Silver
Australia,2012,Swimming,Silver
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,Silver
Australia,2012,Swimming,Gold
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,Gold
Australia,2012,Swimming,No medal
Australia,2012,Swimming,Silver
Australia,2012,Swimming,No medal
Australia,2012,Swimming,Bronze
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,Silver
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,Silver
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,Bronze
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,Gold
Australia,2012,Swimming,Silver
Australia,2012,Swimming,Silver
Australia,2012,Swimming,Gold
Australia,2012,Swimming,Silver
Australia,2012,Swimming,Silver
Australia,2012,Swimming,Silver
Australia,2012,Swimming,Bronze
Australia,2012,Swimming,No medal
Australia,2012,Swimming,Bronze
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,Bronze
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2012,Swimming,No medal
Australia,2016,Swimming,No medal
Australia,2016,Swimming,Bronze
Australia,2016,Swimming,No medal
Australia,2016,Swimming,No medal
Australia,2016,Swimming,Silver
Australia,2016,Swimming,No medal
Australia,2016,Swimming,Silver
Australia,2016,Swimming,No medal
Australia,2016,Swimming,No medal
Australia,2016,Swimming,No medal
Australia,2016,Swimming,No medal
Australia,2016,Swimming,No medal
Australia,2016,Swimming,No medal
