,Name,Sex,Team,NOC,Year,City,Sport,Event,Medal,participation_count_before_award
42671,Wang Yifu,M,China,CHN,1992,Barcelona,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold,178
42672,Wang Yifu,M,China,CHN,1992,Barcelona,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver,179
42689,Xiong Ni,M,China,CHN,1992,Barcelona,Diving,Diving Men's Platform,Bronze,180
42708,Yang Wenyi,F,China,CHN,1992,Barcelona,Swimming,Swimming Women's 50 metres Freestyle,Gold,181
42709,Yang Wenyi,F,China,CHN,1992,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,182
42717,Zhan Shuping,F,China,CHN,1992,Barcelona,Basketball,Basketball Women's Basketball,Silver,183
42720,Zhang Di,F,China,CHN,1992,Barcelona,Judo,Judo Women's Half-Middleweight,Bronze,184
42726,Zhang Shan,F,China,CHN,1992,Barcelona,Shooting,Shooting Mixed Skeet,Gold,185
42734,Zhang Xiaodong,F,China,CHN,1992,Barcelona,Sailing,Sailing Women's Windsurfer,Silver,186
42743,Zhao Kun,F,China,CHN,1992,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,187
42747,Zheng Dongmei,F,China,CHN,1992,Barcelona,Basketball,Basketball Women's Basketball,Silver,188
42748,Zheng Haixia,F,China,CHN,1992,Barcelona,Basketball,Basketball Women's Basketball,Silver,189
42764,Zhuang Xiaoyan,F,China,CHN,1992,Barcelona,Judo,Judo Women's Heavyweight,Gold,190
42765,Zhuang Yong,F,China,CHN,1992,Barcelona,Swimming,Swimming Women's 50 metres Freestyle,Silver,191
42766,Zhuang Yong,F,China,CHN,1992,Barcelona,Swimming,Swimming Women's 100 metres Freestyle,Gold,192
42768,Zhuang Yong,F,China,CHN,1992,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,193
42770,An Zhongxin,F,China,CHN,1996,Atlanta,Softball,Softball Women's Softball,Silver,194
42776,Bi Wenjing,F,China,CHN,1996,Atlanta,Gymnastics,Gymnastics Women's Uneven Bars,Silver,195
42779,Cai Huijue,F,China,CHN,1996,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,196
42781,Cao Mianying,F,China,CHN,1996,Atlanta,Rowing,Rowing Women's Double Sculls,Silver,197
42784,Chao Na,F,China,CHN,1996,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,198
42789,Chen Hong,F,China,CHN,1996,Atlanta,Softball,Softball Women's Softball,Silver,199
42807,Chen Yan,F,China,CHN,1996,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,200
42809,Chen Yufeng,F,China,CHN,1996,Atlanta,Football,Football Women's Football,Silver,201
42813,Cui Yongmei,F,China,CHN,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Silver,202
42814,Deng Yaping,F,China,CHN,1996,Atlanta,Table Tennis,Table Tennis Women's Singles,Gold,203
42815,Dong Jiong,M,China,CHN,1996,Atlanta,Badminton,Badminton Men's Singles,Silver,204
42822,Fan Bin,M,China,CHN,1996,Atlanta,Gymnastics,Gymnastics Men's Team All-Around,Silver,205
42826,Fan Bin,M,China,CHN,1996,Atlanta,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze,206
42830,Fan Hongbin,M,China,CHN,1996,Atlanta,Gymnastics,Gymnastics Men's Team All-Around,Silver,207
42834,Fan Yunjie,F,China,CHN,1996,Atlanta,Football,Football Women's Football,Silver,208
42836,Fu Mingxia,F,China,CHN,1996,Atlanta,Diving,Diving Women's Springboard,Gold,209
42837,Fu Mingxia,F,China,CHN,1996,Atlanta,Diving,Diving Women's Platform,Gold,210
42842,Gao Hong,F,China,CHN,1996,Atlanta,Football,Football Women's Football,Silver,211
42853,Han Xue,F,China,CHN,1996,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,212
42856,He Liping,F,China,CHN,1996,Atlanta,Softball,Softball Women's Softball,Silver,213
42857,He Qi,F,China,CHN,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Silver,214
42858,He Ying,F,China,CHN,1996,Atlanta,Archery,Archery Women's Individual,Silver,215
42865,Huang Huadong,M,China,CHN,1996,Atlanta,Gymnastics,Gymnastics Men's Team All-Around,Silver,216
42873,Huang Liping,M,China,CHN,1996,Atlanta,Gymnastics,Gymnastics Men's Team All-Around,Silver,217
42899,Lai Yawen,F,China,CHN,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Silver,218
42901,Le Jingyi,F,China,CHN,1996,Atlanta,Swimming,Swimming Women's 50 metres Freestyle,Silver,219
42902,Le Jingyi,F,China,CHN,1996,Atlanta,Swimming,Swimming Women's 100 metres Freestyle,Gold,220
42903,Le Jingyi,F,China,CHN,1996,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,221
42904,Lei Li,F,China,CHN,1996,Atlanta,Softball,Softball Women's Softball,Silver,222
42910,Li Duihong,F,China,CHN,1996,Atlanta,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Gold,223
42923,Li Xiaoshuang,M,China,CHN,1996,Atlanta,Gymnastics,Gymnastics Men's Individual All-Around,Gold,224
42924,Li Xiaoshuang,M,China,CHN,1996,Atlanta,Gymnastics,Gymnastics Men's Team All-Around,Silver,225
42925,Li Xiaoshuang,M,China,CHN,1996,Atlanta,Gymnastics,Gymnastics Men's Floor Exercise,Silver,226
42933,Li Yan,F,China,CHN,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Silver,227
42942,Lin Li,F,China,CHN,1996,Atlanta,Swimming,Swimming Women's 200 metres Individual Medley,Bronze,228
42944,Liu Ailing,F,China,CHN,1996,Atlanta,Football,Football Women's Football,Silver,229
42947,Liu Guoliang,M,China,CHN,1996,Atlanta,Table Tennis,Table Tennis Men's Singles,Gold,230
42950,Liu Limin,F,China,CHN,1996,Atlanta,Swimming,Swimming Women's 100 metres Butterfly,Silver,231
42964,Liu Xuqing,F,China,CHN,1996,Atlanta,Softball,Softball Women's Softball,Silver,232
42965,Liu Yaju,F,China,CHN,1996,Atlanta,Softball,Softball Women's Softball,Silver,233
42966,Liu Ying,F,China,CHN,1996,Atlanta,Football,Football Women's Football,Silver,234
42974,Ma Ying,F,China,CHN,1996,Atlanta,Softball,Softball Women's Softball,Silver,235
42989,Mo Huilan,F,China,CHN,1996,Atlanta,Gymnastics,Gymnastics Women's Horse Vault,Silver,236
42992,Nian Yun,F,China,CHN,1996,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,237
42997,Ou Jingbai,F,China,CHN,1996,Atlanta,Softball,Softball Women's Softball,Silver,238
43004,Qiao Hong,F,China,CHN,1996,Atlanta,Table Tennis,Table Tennis Women's Singles,Bronze,239
43011,Qin Yiyuan,F,China,CHN,1996,Atlanta,Badminton,Badminton Women's Doubles,Bronze,240
43019,Shan Ying,F,China,CHN,1996,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,241
43021,Shan Ying,F,China,CHN,1996,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,242
43023,Shen Jian,M,China,CHN,1996,Atlanta,Gymnastics,Gymnastics Men's Team All-Around,Silver,243
43033,Sheng Zetian,M,China,CHN,1996,Atlanta,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Bronze,244
43034,Shi Guihong,F,China,CHN,1996,Atlanta,Football,Football Women's Football,Silver,245
43036,Shui Qingxia,F,China,CHN,1996,Atlanta,Football,Football Women's Football,Silver,246
43037,Sui Xinmei,F,China,CHN,1996,Atlanta,Athletics,Athletics Women's Shot Put,Silver,247
43038,Sun Fuming,F,China,CHN,1996,Atlanta,Judo,Judo Women's Heavyweight,Gold,248
43042,Sun Qingmei,F,China,CHN,1996,Atlanta,Football,Football Women's Football,Silver,249
43043,Sun Wen,F,China,CHN,1996,Atlanta,Football,Football Women's Football,Silver,250
43044,Sun Yue,F,China,CHN,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Silver,251
43049,Tang Lingsheng,M,China,CHN,1996,Atlanta,Weightlifting,Weightlifting Men's Bantamweight,Gold,252
43050,Tang (-hetian),F,China,CHN,1996,Atlanta,Badminton,Badminton Women's Doubles,Bronze,253
43051,Tao Hua,F,China,CHN,1996,Atlanta,Softball,Softball Women's Softball,Silver,254
43061,Wang Junxia,F,China,CHN,1996,Atlanta,Athletics,"Athletics Women's 5,000 metres",Gold,255
43062,Wang Junxia,F,China,CHN,1996,Atlanta,Athletics,"Athletics Women's 10,000 metres",Silver,256
43063,Wang Lihong,F,China,CHN,1996,Atlanta,Softball,Softball Women's Softball,Silver,257
43064,Wang Lina,F,China,CHN,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Silver,258
43065,Wang Liping,F,China,CHN,1996,Atlanta,Football,Football Women's Football,Silver,259
43069,Wang Tao,M,China,CHN,1996,Atlanta,Table Tennis,Table Tennis Men's Singles,Silver,260
43071,Wang Xianbo,F,China,CHN,1996,Atlanta,Judo,Judo Women's Middleweight,Bronze,261
43078,Wang Yan,F,China,CHN,1996,Atlanta,Athletics,Athletics Women's 10 kilometres Walk,Bronze,262
43079,Wang Yi,F,China,CHN,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Silver,263
43080,Wang Yifu,M,China,CHN,1996,Atlanta,Shooting,"Shooting Men's Air Pistol, 10 metres",Silver,264
43082,Wang Ying,F,China,CHN,1996,Atlanta,Softball,Softball Women's Softball,Silver,265
43085,Wang Ziling,F,China,CHN,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Silver,266
43086,Wei Haiying,F,China,CHN,1996,Atlanta,Football,Football Women's Football,Silver,267
43088,Wei Qiang,F,China,CHN,1996,Atlanta,Softball,Softball Women's Softball,Silver,268
43089,Wen Lirong,F,China,CHN,1996,Atlanta,Football,Football Women's Football,Silver,269
43097,Wu Yongmei,F,China,CHN,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Silver,270
43104,Xiao Hailiang,M,China,CHN,1996,Atlanta,Diving,Diving Men's Platform,Bronze,271
43105,Xiao Jiangang,M,China,CHN,1996,Atlanta,Weightlifting,Weightlifting Men's Featherweight,Bronze,272
43106,Xiao Jun,M,China,CHN,1996,Atlanta,Shooting,"Shooting Men's Running Target, 10 metres",Silver,273
43108,Xie Huilin,F,China,CHN,1996,Atlanta,Football,Football Women's Football,Silver,274
43109,Xiong Ni,M,China,CHN,1996,Atlanta,Diving,Diving Men's Springboard,Gold,275
43114,Xu Jian,F,China,CHN,1996,Atlanta,Softball,Softball Women's Softball,Silver,276
43117,Yan Fang,F,China,CHN,1996,Atlanta,Softball,Softball Women's Softball,Silver,277
43124,Yang Ling,M,China,CHN,1996,Atlanta,Shooting,"Shooting Men's Running Target, 10 metres",Gold,278
43136,Yu Hongqi,F,China,CHN,1996,Atlanta,Football,Football Women's Football,Silver,279
43138,Yu Zhuocheng,M,China,CHN,1996,Atlanta,Diving,Diving Men's Springboard,Silver,280
43145,Zhan Xugang,M,China,CHN,1996,Atlanta,Weightlifting,Weightlifting Men's Lightweight,Gold,281
43147,Zhang Bing,M,China,CHN,1996,Atlanta,Shooting,Shooting Men's Double Trap,Bronze,282
43148,Zhang Chunfang,F,China,CHN,1996,Atlanta,Softball,Softball Women's Softball,Silver,283
43153,Zhang Jingjin,M,China,CHN,1996,Atlanta,Gymnastics,Gymnastics Men's Team All-Around,Silver,284
43165,Zhang Xiangsen,M,China,CHN,1996,Atlanta,Weightlifting,Weightlifting Men's Flyweight,Silver,285
43167,Zhang Xiuyun,F,China,CHN,1996,Atlanta,Rowing,Rowing Women's Double Sculls,Silver,286
43175,Zhao Lihong,F,China,CHN,1996,Atlanta,Football,Football Women's Football,Silver,287
43192,Cai Yalin,M,China,CHN,2000,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold,288
43200,Chen Xiaomin,F,China,CHN,2000,Sydney,Weightlifting,Weightlifting Women's Middleweight,Gold,289
43206,Chen Zhong,F,China,CHN,2000,Sydney,Taekwondo,Taekwondo Women's Heavyweight,Gold,290
43211,Ding Meiyuan,F,China,CHN,2000,Sydney,Weightlifting,Weightlifting Women's Super-Heavyweight,Gold,291
43219,Dong Zhaozhi,M,China,CHN,2000,Sydney,Fencing,"Fencing Men's Foil, Team",Silver,292
43222,Fu Mingxia,F,China,CHN,2000,Sydney,Diving,Diving Women's Springboard,Gold,293
43223,Fu Mingxia,F,China,CHN,2000,Sydney,Diving,Diving Women's Synchronized Springboard,Silver,294
43228,Gao E,F,China,CHN,2000,Sydney,Shooting,Shooting Women's Trap,Bronze,295
43231,Gao Jing,F,China,CHN,2000,Sydney,Shooting,"Shooting Women's Air Rifle, 10 metres",Bronze,296
43234,Gong Zhichao,F,China,CHN,2000,Sydney,Badminton,Badminton Women's Singles,Gold,297
43238,Guo Jingjing,F,China,CHN,2000,Sydney,Diving,Diving Women's Springboard,Silver,298
43239,Guo Jingjing,F,China,CHN,2000,Sydney,Diving,Diving Women's Synchronized Springboard,Silver,299
43252,Hu Jia,M,China,CHN,2000,Sydney,Diving,Diving Men's Platform,Silver,300
43253,Hu Jia,M,China,CHN,2000,Sydney,Diving,Diving Men's Synchronized Platform,Silver,301
43262,Huang Nanyan,F,China,CHN,2000,Sydney,Badminton,Badminton Women's Doubles,Silver,302
43264,Huang Xu,M,China,CHN,2000,Sydney,Gymnastics,Gymnastics Men's Team All-Around,Gold,303
43269,Ji Xinpeng,M,China,CHN,2000,Sydney,Badminton,Badminton Men's Singles,Gold,304
43272,Jiang Cuihua,F,China,CHN,2000,Sydney,Cycling,Cycling Women's 500 metres Time Trial,Bronze,305
43279,Kong Linghui,M,China,CHN,2000,Sydney,Table Tennis,Table Tennis Men's Singles,Gold,306
43292,Li Ju,F,China,CHN,2000,Sydney,Table Tennis,Table Tennis Women's Singles,Silver,307
43298,Li Na,F,China,CHN,2000,Sydney,Diving,Diving Women's Platform,Silver,308
43299,Li Na,F,China,CHN,2000,Sydney,Diving,Diving Women's Synchronized Platform,Gold,309
43301,Li Na,F,China,CHN,2000,Sydney,Fencing,"Fencing Women's epee, Team",Bronze,310
43308,Li Shufang,F,China,CHN,2000,Sydney,Judo,Judo Women's Half-Middleweight,Silver,311
43312,Li Xiaopeng,M,China,CHN,2000,Sydney,Gymnastics,Gymnastics Men's Team All-Around,Gold,312
43315,Li Xiaopeng,M,China,CHN,2000,Sydney,Gymnastics,Gymnastics Men's Parallel Bars,Gold,313
43329,Liang Qin,F,China,CHN,2000,Sydney,Fencing,"Fencing Women's epee, Team",Bronze,314
43330,Lin Weining,F,China,CHN,2000,Sydney,Weightlifting,Weightlifting Women's Light-Heavyweight,Gold,315
43334,Ling Jie,F,China,CHN,2000,Sydney,Gymnastics,Gymnastics Women's Uneven Bars,Silver,316
43337,Liu Guoliang,M,China,CHN,2000,Sydney,Table Tennis,Table Tennis Men's Singles,Bronze,317
43351,Liu Xuan,F,China,CHN,2000,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,Bronze,318
43356,Liu Xuan,F,China,CHN,2000,Sydney,Gymnastics,Gymnastics Women's Balance Beam,Gold,319
43362,Liu Yuxiang,F,China,CHN,2000,Sydney,Judo,Judo Women's Half-Lightweight,Bronze,320
43375,Niu Zhiyuan,M,China,CHN,2000,Sydney,Shooting,"Shooting Men's Running Target, 10 metres",Bronze,321
43397,Sang Xue,F,China,CHN,2000,Sydney,Diving,Diving Women's Synchronized Platform,Gold,322
43401,Sheng Zetian,M,China,CHN,2000,Sydney,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze,323
43417,Tang Lin,F,China,CHN,2000,Sydney,Judo,Judo Women's Half-Heavyweight,Gold,324
43419,Tao Luna,F,China,CHN,2000,Sydney,Shooting,"Shooting Women's Air Pistol, 10 metres",Gold,325
43420,Tao Luna,F,China,CHN,2000,Sydney,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Silver,326
43421,Tian Liang,M,China,CHN,2000,Sydney,Diving,Diving Men's Platform,Gold,327
43422,Tian Liang,M,China,CHN,2000,Sydney,Diving,Diving Men's Synchronized Platform,Silver,328
43427,Wang Haibin,M,China,CHN,2000,Sydney,Fencing,"Fencing Men's Foil, Team",Silver,329
43434,Wang Liping,F,China,CHN,2000,Sydney,Athletics,Athletics Women's 20 kilometres Walk,Gold,330
43437,Wang Nan,F,China,CHN,2000,Sydney,Table Tennis,Table Tennis Women's Singles,Gold,331
43443,Wang Yifu,M,China,CHN,2000,Sydney,Shooting,"Shooting Men's Air Pistol, 10 metres",Silver,332
43452,Wu Wenxiong,M,China,CHN,2000,Sydney,Weightlifting,Weightlifting Men's Bantamweight,Silver,333
43454,Xia Xuanze,M,China,CHN,2000,Sydney,Badminton,Badminton Men's Singles,Bronze,334
43459,Xiao Hailiang,M,China,CHN,2000,Sydney,Diving,Diving Men's Synchronized Springboard,Gold,335
43461,Xiao Junfeng,M,China,CHN,2000,Sydney,Gymnastics,Gymnastics Men's Team All-Around,Gold,336
43472,Xing Aowei,M,China,CHN,2000,Sydney,Gymnastics,Gymnastics Men's Team All-Around,Gold,337
43478,Xiong Ni,M,China,CHN,2000,Sydney,Diving,Diving Men's Springboard,Gold,338
43479,Xiong Ni,M,China,CHN,2000,Sydney,Diving,Diving Men's Synchronized Springboard,Gold,339
43490,Yang Ling,M,China,CHN,2000,Sydney,Shooting,"Shooting Men's Running Target, 10 metres",Gold,340
43492,Yang Shaoqi,F,China,CHN,2000,Sydney,Fencing,"Fencing Women's epee, Team",Bronze,341
43493,Yang Wei,F,China,CHN,2000,Sydney,Badminton,Badminton Women's Doubles,Silver,342
43494,Yang Wei,M,China,CHN,2000,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,Silver,343
43495,Yang Wei,M,China,CHN,2000,Sydney,Gymnastics,Gymnastics Men's Team All-Around,Gold,344
43502,Yang Xia,F,China,CHN,2000,Sydney,Weightlifting,Weightlifting Women's Featherweight,Gold,345
43513,Yang Yun,F,China,CHN,2000,Sydney,Gymnastics,Gymnastics Women's Uneven Bars,Bronze,346
43517,Ye Chong,M,China,CHN,2000,Sydney,Fencing,"Fencing Men's Foil, Team",Silver,347
43518,Ye Zhaoying,F,China,CHN,2000,Sydney,Badminton,Badminton Women's Singles,Bronze,348
43530,Yuan Hua,F,China,CHN,2000,Sydney,Judo,Judo Women's Heavyweight,Gold,349
43539,Zhan Xugang,M,China,CHN,2000,Sydney,Weightlifting,Weightlifting Men's Middleweight,Gold,350
43548,Zhang Xiangxiang,M,China,CHN,2000,Sydney,Weightlifting,Weightlifting Men's Bantamweight,Bronze,351
43563,Zheng Lihui,M,China,CHN,2000,Sydney,Gymnastics,Gymnastics Men's Team All-Around,Gold,352
43595,Chen Jing,F,China,CHN,2004,Athina,Volleyball,Volleyball Women's Volleyball,Gold,353
43604,Chen Yanqing,F,China,CHN,2004,Athina,Weightlifting,Weightlifting Women's Lightweight,Gold,354
43609,Chen Zhong,F,China,CHN,2004,Athina,Taekwondo,Taekwondo Women's Heavyweight,Gold,355
43628,Dong Zhaozhi,M,China,CHN,2004,Athina,Fencing,"Fencing Men's Foil, Team",Silver,356
43631,Du Li,F,China,CHN,2004,Athina,Shooting,"Shooting Women's Air Rifle, 10 metres",Gold,357
43639,Feng Kun,F,China,CHN,2004,Athina,Volleyball,Volleyball Women's Volleyball,Gold,358
43645,Gao E,F,China,CHN,2004,Athina,Shooting,Shooting Women's Double Trap,Bronze,359
43646,Gao Feng,F,China,CHN,2004,Athina,Judo,Judo Women's Extra-Lightweight,Bronze,360
43648,Gao Ling,F,China,CHN,2004,Athina,Badminton,Badminton Women's Doubles,Silver,361
43659,Guo Jingjing,F,China,CHN,2004,Athina,Diving,Diving Women's Springboard,Gold,362
43660,Guo Jingjing,F,China,CHN,2004,Athina,Diving,Diving Women's Synchronized Springboard,Gold,363
43671,He Ying,F,China,CHN,2004,Athina,Archery,Archery Women's Team,Silver,364
43675,Hu Jia,M,China,CHN,2004,Athina,Diving,Diving Men's Platform,Gold,365
43682,Huang Shanshan,F,China,CHN,2004,Athina,Trampolining,Trampolining Women's Individual,Bronze,366
43686,Huang Sui,F,China,CHN,2004,Athina,Badminton,Badminton Women's Doubles,Silver,367
43697,Jia Zhanbo,M,China,CHN,2004,Athina,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold,368
43700,Jiang Yonghua,F,China,CHN,2004,Athina,Cycling,Cycling Women's 500 metres Time Trial,Silver,369
43707,Lao Lishi,F,China,CHN,2004,Athina,Diving,Diving Women's Platform,Silver,370
43708,Lao Lishi,F,China,CHN,2004,Athina,Diving,Diving Women's Synchronized Platform,Gold,371
43709,Le Maosheng,M,China,CHN,2004,Athina,Weightlifting,Weightlifting Men's Featherweight,Silver,372
43717,Li Ji,F,China,CHN,2004,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,373
43721,Li Jie,M,China,CHN,2004,Athina,Shooting,"Shooting Men's Air Rifle, 10 metres",Silver,374
43733,Li Shan,F,China,CHN,2004,Athina,Volleyball,Volleyball Women's Volleyball,Gold,375
43737,Li Ting,F,China,CHN,2004,Athina,Diving,Diving Women's Synchronized Platform,Gold,376
43743,Li Xiaopeng,M,China,CHN,2004,Athina,Gymnastics,Gymnastics Men's Parallel Bars,Bronze,377
43756,Li Zhuo,F,China,CHN,2004,Athina,Weightlifting,Weightlifting Women's Flyweight,Silver,378
43766,Lin Sang,F,China,CHN,2004,Athina,Archery,Archery Women's Team,Silver,379
43767,Liu Chunhong,F,China,CHN,2004,Athina,Weightlifting,Weightlifting Women's Light-Heavyweight,Gold,380
43774,Liu Xia,F,China,CHN,2004,Athina,Judo,Judo Women's Half-Heavyweight,Silver,381
43775,Liu Xiang,M,China,CHN,2004,Athina,Athletics,Athletics Men's 110 metres Hurdles,Gold,382
43777,Liu Yanan,F,China,CHN,2004,Athina,Volleyball,Volleyball Women's Volleyball,Gold,383
43790,Luo Wei,F,China,CHN,2004,Athina,Taekwondo,Taekwondo Women's Welterweight,Gold,384
43792,Luo Xuejuan,F,China,CHN,2004,Athina,Swimming,Swimming Women's 100 metres Breaststroke,Gold,385
43799,Meng Guanliang,M,China,CHN,2004,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Gold,386
43817,Pang Jiaying,F,China,CHN,2004,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,387
43818,Peng Bo,M,China,CHN,2004,Athina,Diving,Diving Men's Springboard,Gold,388
43828,Qin Dongya,F,China,CHN,2004,Athina,Judo,Judo Women's Middleweight,Bronze,389
43841,Shi Zhiyong,M,China,CHN,2004,Athina,Weightlifting,Weightlifting Men's Featherweight,Gold,390
43844,Song Nina,F,China,CHN,2004,Athina,Volleyball,Volleyball Women's Volleyball,Gold,391
43850,Sun Fuming,F,China,CHN,2004,Athina,Judo,Judo Women's Heavyweight,Bronze,392
43854,Tan Xue,F,China,CHN,2004,Athina,Fencing,"Fencing Women's Sabre, Individual",Silver,393
43858,Tang Gonghong,F,China,CHN,2004,Athina,Weightlifting,Weightlifting Women's Super-Heavyweight,Gold,394
43867,Teng Haibin,M,China,CHN,2004,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,395
43869,Tian Liang,M,China,CHN,2004,Athina,Diving,Diving Men's Platform,Bronze,396
43870,Tian Liang,M,China,CHN,2004,Athina,Diving,Diving Men's Synchronized Platform,Gold,397
43874,Wang Chengyi,F,China,CHN,2004,Athina,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Bronze,398
43877,Wang Haibin,M,China,CHN,2004,Athina,Fencing,"Fencing Men's Foil, Team",Silver,399
43879,Wang Hao,M,China,CHN,2004,Athina,Table Tennis,Table Tennis Men's Singles,Silver,400
43885,Wang Lei,M,China,CHN,2004,Athina,Fencing,"Fencing Men's epee, Individual",Silver,401
43888,Wang Lina,F,China,CHN,2004,Athina,Volleyball,Volleyball Women's Volleyball,Gold,402
43892,Wang Liqin,M,China,CHN,2004,Athina,Table Tennis,Table Tennis Men's Singles,Bronze,403
43904,Wang Xu,F,China,CHN,2004,Athina,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Gold,404
43905,Wang Yifu,M,China,CHN,2004,Athina,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold,405
43907,Wang Zheng,M,China,CHN,2004,Athina,Shooting,Shooting Men's Double Trap,Bronze,406
43908,Wei Ning,F,China,CHN,2004,Athina,Shooting,Shooting Women's Skeet,Silver,407
43912,Wu Hanxiong,M,China,CHN,2004,Athina,Fencing,"Fencing Men's Foil, Team",Silver,408
43914,Wu Meijin,M,China,CHN,2004,Athina,Weightlifting,Weightlifting Men's Bantamweight,Silver,409
43915,Wu Minxia,F,China,CHN,2004,Athina,Diving,Diving Women's Springboard,Silver,410
43916,Wu Minxia,F,China,CHN,2004,Athina,Diving,Diving Women's Synchronized Springboard,Gold,411
43924,Xian Dongmei,F,China,CHN,2004,Athina,Judo,Judo Women's Half-Lightweight,Gold,412
43945,Xing Huina,F,China,CHN,2004,Athina,Athletics,"Athletics Women's 10,000 metres",Gold,413
43953,Xu Yanwei,F,China,CHN,2004,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,414
43959,Yang Hao,F,China,CHN,2004,Athina,Volleyball,Volleyball Women's Volleyball,Gold,415
43961,Yang Jinghui,M,China,CHN,2004,Athina,Diving,Diving Men's Synchronized Platform,Gold,416
43970,Yang Wenjun,M,China,CHN,2004,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Gold,417
43975,Yang Yu,F,China,CHN,2004,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,418
43978,Ye Chong,M,China,CHN,2004,Athina,Fencing,"Fencing Men's Foil, Team",Silver,419
43981,Yin Jian,F,China,CHN,2004,Athina,Sailing,Sailing Women's Windsurfer,Silver,420
43997,Zhang Guozheng,M,China,CHN,2004,Athina,Weightlifting,Weightlifting Men's Lightweight,Gold,421
44001,Zhang Juanjuan,F,China,CHN,2004,Athina,Archery,Archery Women's Team,Silver,422
44009,Zhang Na,F,China,CHN,2004,Athina,Volleyball,Volleyball Women's Volleyball,Gold,423
44010,Zhang Nan,F,China,CHN,2004,Athina,Gymnastics,Gymnastics Women's Individual All-Around,Bronze,424
44016,Zhang Ning,F,China,CHN,2004,Athina,Badminton,Badminton Women's Singles,Gold,425
44019,Zhang Ping,F,China,CHN,2004,Athina,Volleyball,Volleyball Women's Volleyball,Gold,426
44030,Zhang Yining,F,China,CHN,2004,Athina,Table Tennis,Table Tennis Women's Singles,Gold,427
44031,Zhang Yuehong,F,China,CHN,2004,Athina,Volleyball,Volleyball Women's Volleyball,Gold,428
44035,Zhao Ruirui,F,China,CHN,2004,Athina,Volleyball,Volleyball Women's Volleyball,Gold,429
44051,Zhou Mi,F,China,CHN,2004,Athina,Badminton,Badminton Women's Singles,Bronze,430
44052,Zhou Suhong,F,China,CHN,2004,Athina,Volleyball,Volleyball Women's Volleyball,Gold,431
44061,Zhu Qinan,M,China,CHN,2004,Athina,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold,432
44065,Zhu Yingwen,F,China,CHN,2004,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,433
44069,Zou Shiming,M,China,CHN,2004,Athina,Boxing,Boxing Men's Light-Flyweight,Bronze,434
44074,Bao Yingying,F,China,CHN,2008,Beijing,Fencing,"Fencing Women's Sabre, Team",Silver,435
44081,Cai Tongtong,F,China,CHN,2008,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver,436
